S,K,T,r,sigma,moneyness,market_price,optionType,moneyness_category,expirationDate
284.67999267578125,257.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.1055533696146844,0.63,put,ITM,2025-12-05
284.67999267578125,260.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0949230487530048,0.88,put,ITM,2025-12-05
284.67999267578125,262.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0844952101934524,1.23,put,ITM,2025-12-05
284.67999267578125,265.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.074264123304835,1.35,put,ITM,2025-12-05
284.67999267578125,267.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0642242716851635,1.57,put,ITM,2025-12-05
284.67999267578125,270.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0543703432436342,2.01,put,ITM,2025-12-05
284.67999267578125,272.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.044697220828555,2.29,put,ATM,2025-12-05
284.67999267578125,275.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0351999733664772,2.88,put,ATM,2025-12-05
284.67999267578125,277.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0258738474802929,3.67,put,ATM,2025-12-05
284.67999267578125,280.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.0167142595563616,4.34,put,ATM,2025-12-05
284.67999267578125,282.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,1.007716788232854,5.37,put,ATM,2025-12-05
284.67999267578125,285.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.998877167283443,6.8,put,ATM,2025-12-05
284.67999267578125,287.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9901912788722826,7.35,put,ATM,2025-12-05
284.67999267578125,290.0,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9816551471578664,9.0,put,ATM,2025-12-05
284.67999267578125,297.5,0.0273972602739726,0.03732000112533569,0.2742176104409445,0.9569075384059874,17.32,put,ATM,2025-12-05
284.67999267578125,275.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0351999733664772,13.6,call,ATM,2025-12-12
284.67999267578125,277.5,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0258738474802929,13.4,call,ATM,2025-12-12
284.67999267578125,280.0,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.0167142595563616,12.21,call,ATM,2025-12-12
284.67999267578125,282.5,0.04657534246575343,0.03732000112533569,0.2742176104409445,1.007716788232854,8.9,call,ATM,2025-12-12
